"sample_metag","sample_metat","sample_metag_nreads","sample_internal","Layer","polar","Latitude","Longitude","Temperature","Oxygen","sample_id"
"TARA_SAMEA2619667_METAG","TARA_SAMEA2619669_METAT",390767876,"TARA_A100000164","SRF","non polar",35.759,14.2574,21.48665,208.245,"Sample_0"
"TARA_SAMEA2619782_METAG","TARA_SAMEA2619784_METAT",369968540,"TARA_E500000331","DCM","non polar",39.3991,19.3997,15.181967,229.908917,"Sample_1"
"TARA_SAMEA2619802_METAG","TARA_SAMEA2619804_METAT",378877902,"TARA_A100001388","SRF","non polar",27.16,34.835,25.0281,189.91675,"Sample_2"
"TARA_SAMEA2619818_METAG","TARA_SAMEA2619822_METAT",384541279,"TARA_A100001035","SRF","non polar",23.36,37.2183,25.811708,188.341917,"Sample_3"
"TARA_SAMEA2619857_METAG","TARA_SAMEA2619861_METAT",242090557,"TARA_A100001234","SRF","non polar",21.9467,38.2517,27.3097,183.589125,"Sample_4"
"TARA_SAMEA2619970_METAG","TARA_SAMEA2619970_METAT",382130772,"TARA_B100000315","MES","non polar",20.8457,63.5851,11.984006,2.81625,"Sample_5"
"TARA_SAMEA2620035_METAG","TARA_SAMEA2620035_METAT",242811911,"TARA_Y100000294","MES","non polar",19.0351,64.5638,14.901445,2.9502,"Sample_6"
"TARA_SAMEA2620081_METAG","TARA_SAMEA2620085_METAT",327912860,"TARA_B100000085","DCM","non polar",18.5839,66.4727,26.692435,187.47615,"Sample_7"
"TARA_SAMEA2620097_METAG","TARA_SAMEA2620102_METAT",262150725,"TARA_Y100000031","MES","non polar",18.7341,66.3896,15.553795,3.12405,"Sample_8"
"TARA_SAMEA2620217_METAG","TARA_SAMEA2620217_METAT",438464274,"TARA_B100000287","DCM","non polar",14.5536,70.0128,27.374181,164.440063,"Sample_9"
"TARA_SAMEA2620194_METAG","TARA_SAMEA2620194_METAT",421866342,"TARA_B100000282","SRF","non polar",14.6059,69.9776,29.151544,187.306625,"Sample_10"
"TARA_SAMEA2620259_METAG","TARA_SAMEA2620261_METAT",404693670,"TARA_B100000131","DCM","non polar",5.9998,73.9067,27.9561,137.998083,"Sample_11"
"TARA_SAMEA2620230_METAG","TARA_SAMEA2620235_METAT",379889333,"TARA_B100000123","SRF","non polar",6.0001,73.8955,30.12785,188.79575,"Sample_12"
"TARA_SAMEA2620570_METAG","TARA_SAMEA2620570_METAT",373514851,"TARA_B100000214","DCM","non polar",-16.9534,53.9601,25.212642,194.81775,"Sample_13"
"TARA_SAMEA2620542_METAG","TARA_SAMEA2620542_METAT",388215038,"TARA_B100000212","SRF","non polar",-16.957,53.9801,27.956483,191.628083,"Sample_14"
"TARA_SAMEA2620970_METAG","TARA_SAMEA2620974_METAT",154440714,"TARA_B100000497","SRF","non polar",-32.2401,17.7103,13.04322,252.63145,"Sample_15"
"TARA_SAMEA2621037_METAG","TARA_SAMEA2621041_METAT",239209946,"TARA_B100000482","DCM","non polar",-31.027,4.6802,16.74878,231.9774,"Sample_16"
"TARA_SAMEA2621013_METAG","TARA_SAMEA2621017_METAT",267146978,"TARA_B100000475","SRF","non polar",-31.0266,4.665,16.8632,234.4763,"Sample_17"
"TARA_SAMEA2621092_METAG","TARA_SAMEA2621096_METAT",371880001,"TARA_B100000446","MES","non polar",-20.4075,-3.1641,4.188237,161.92525,"Sample_18"
"TARA_SAMEA2621066_METAG","TARA_SAMEA2621070_METAT",232889270,"TARA_B100000459","SRF","non polar",-20.4091,-3.1759,19.77001,215.2007,"Sample_19"
"TARA_SAMEA2621155_METAG","TARA_SAMEA2621158_METAT",313993897,"TARA_B100000427","DCM","non polar",-8.7296,-17.9604,23.630095,190.5966,"Sample_20"
"TARA_SAMEA2621132_METAG","TARA_SAMEA2621136_METAT",399435364,"TARA_B100000424","SRF","non polar",-8.7789,-17.9099,25.064425,199.135,"Sample_21"
